dataset,seed,target_hetero_ratio_threshold,strategy,pool_ratio,pool_node_ratio,hetero_edge_ratio,hetero_node_ratio_any,target_node_ratio,pool_count,hetero_node_count,overlap_count,precision,recall,f1,iou,score_mean_overlap,score_mean_missed_hetero
chameleon,0,0.0,support_neighbor_entropy,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.9762845849802372,455.0,2223.0,455.0,1.0,0.2046783625730994,0.3398058252427184,0.2046783625730994,0.6579272150993347,0.04450077936053276
chameleon,0,0.5,support_neighbor_entropy,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.8880105401844532,455.0,2022.0,448.0,0.9846153846153847,0.2215628090999011,0.3617278966491724,0.2207984228684081,0.6590432524681091,0.0410696417093277
chameleon,0,0.75,support_neighbor_entropy,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.5814668423364076,455.0,1324.0,227.0,0.4989010989010989,0.1714501510574018,0.2551995503091624,0.14626288659793815,0.6663614511489868,0.027484068647027016
chameleon,0,0.0,support_neighbor_entropy,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.9762845849802372,683.0,2223.0,681.0,0.9970717423133236,0.30634278002699056,0.46868547832071583,0.3060674157303371,0.5551164150238037,0.0
chameleon,0,0.5,support_neighbor_entropy,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.8880105401844532,683.0,2022.0,636.0,0.931185944363104,0.314540059347181,0.47024029574861376,0.3073948767520541,0.5658726096153259,0.0
chameleon,0,0.75,support_neighbor_entropy,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.5814668423364076,683.0,1324.0,329.0,0.4816983894582723,0.24848942598187312,0.3278525161933234,0.19606674612634087,0.5514105558395386,0.0
chameleon,0,0.0,feature_label_ambiguity,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.9762845849802372,114.0,2223.0,113.0,0.9912280701754386,0.05083220872694557,0.09670517757809158,0.050809352517985615,0.839606761932373,0.5093880295753479
chameleon,0,0.5,feature_label_ambiguity,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.8880105401844532,114.0,2022.0,102.0,0.8947368421052632,0.050445103857566766,0.09550561797752809,0.05014749262536873,0.8396673798561096,0.5088669657707214
chameleon,0,0.75,feature_label_ambiguity,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.5814668423364076,114.0,1324.0,90.0,0.7894736842105263,0.06797583081570997,0.12517385257301808,0.06676557863501484,0.8396202325820923,0.5591121912002563
chameleon,0,0.0,feature_label_ambiguity,0.1,0.10013175230566534,0.7700742483139038,0.9762845635414124,0.9762845849802372,228.0,2223.0,226.0,0.9912280701754386,0.10166441745389114,0.1844145246838025,0.10157303370786516,0.8390538096427917,0.49076521396636963
chameleon,0,0.5,feature_label_ambiguity,0.1,0.10013175230566534,0.7700742483139038,0.9762845635414124,0.8880105401844532,228.0,2022.0,206.0,0.9035087719298246,0.10187932739861523,0.18311111111111109,0.10078277886497064,0.8390784859657288,0.4899892807006836
chameleon,0,0.75,feature_label_ambiguity,0.1,0.10013175230566534,0.7700742483139038,0.9762845635414124,0.5814668423364076,228.0,1324.0,179.0,0.7850877192982456,0.1351963746223565,0.23067010309278352,0.1303714493809177,0.8390637636184692,0.5373955368995667
chameleon,0,0.0,feature_label_ambiguity,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.9762845849802372,342.0,2223.0,340.0,0.9941520467836257,0.15294646873594242,0.26510721247563357,0.15280898876404495,0.8362734913825989,0.47018125653266907
chameleon,0,0.5,feature_label_ambiguity,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.8880105401844532,342.0,2022.0,310.0,0.9064327485380117,0.1533135509396637,0.2622673434856176,0.15092502434274585,0.8363420963287354,0.46927839517593384
chameleon,0,0.75,feature_label_ambiguity,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.5814668423364076,342.0,1324.0,262.0,0.7660818713450293,0.19788519637462235,0.3145258103241297,0.1866096866096866,0.8365729451179504,0.5144332647323608
chameleon,0,0.0,feature_label_ambiguity,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.9762845849802372,455.0,2223.0,453.0,0.9956043956043956,0.203778677462888,0.33831217326362956,0.20359550561797754,0.828231930732727,0.4488673806190491
chameleon,0,0.5,feature_label_ambiguity,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.8880105401844532,455.0,2022.0,414.0,0.9098901098901099,0.20474777448071216,0.33427533306419055,0.20067862336403297,0.8280638456344604,0.44766929745674133
chameleon,0,0.75,feature_label_ambiguity,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.5814668423364076,455.0,1324.0,349.0,0.7670329670329671,0.263595166163142,0.39235525576166386,0.24405594405594405,0.828331708908081,0.4886384606361389
chameleon,0,0.0,feature_label_ambiguity,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.9762845849802372,683.0,2223.0,680.0,0.9956076134699854,0.30589293747188484,0.46799724707501716,0.3054806828391734,0.8113437294960022,0.4004993140697479
chameleon,0,0.5,feature_label_ambiguity,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.8880105401844532,683.0,2022.0,613.0,0.8975109809663251,0.30316518298714146,0.45323475046210726,0.2930210325047801,0.8118172883987427,0.40101251006126404
chameleon,0,0.75,feature_label_ambiguity,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.5814668423364076,683.0,1324.0,500.0,0.7320644216691069,0.3776435045317221,0.49825610363726963,0.33178500331785005,0.8134936690330505,0.43539246916770935
