dataset,seed,target_hetero_ratio_threshold,strategy,pool_ratio,pool_node_ratio,hetero_edge_ratio,hetero_node_ratio_any,target_node_ratio,pool_count,hetero_node_count,overlap_count,precision,recall,f1,iou,score_mean_overlap,score_mean_missed_hetero
squirrel,0,0.75,support_neighbor_entropy,0.05,0.049990386464141515,0.7778657078742981,0.9915400743484497,0.6648721399730821,260.0,3458.0,166.0,0.6384615384615384,0.04800462695199537,0.08929532006455083,0.046734234234234236,0.845379114151001,0.305921733379364
squirrel,0,0.0,support_neighbor_entropy,0.1,0.09998077292828303,0.7778657078742981,0.9915400743484497,0.9915400884445299,520.0,5157.0,520.0,1.0,0.10083381811130503,0.18319534965650872,0.10083381811130503,0.8218793272972107,0.2746015787124634
squirrel,0,0.5,support_neighbor_entropy,0.1,0.09998077292828303,0.7778657078742981,0.9915400743484497,0.944433762737935,520.0,4912.0,520.0,1.0,0.10586319218241043,0.19145802650957292,0.10586319218241043,0.8218793272972107,0.28562453389167786
squirrel,0,0.75,support_neighbor_entropy,0.1,0.09998077292828303,0.7778657078742981,0.9915400743484497,0.6648721399730821,520.0,3458.0,360.0,0.6923076923076923,0.10410641989589357,0.18099547511312217,0.09950248756218906,0.8236451745033264,0.2746659219264984
squirrel,0,0.0,support_neighbor_entropy,0.15,0.14997115939242453,0.7778657078742981,0.9915400743484497,0.9915400884445299,780.0,5157.0,780.0,1.0,0.15125072716695753,0.2627589691763517,0.15125072716695753,0.8122018575668335,0.2438170611858368
squirrel,0,0.5,support_neighbor_entropy,0.15,0.14997115939242453,0.7778657078742981,0.9915400743484497,0.944433762737935,780.0,4912.0,780.0,1.0,0.15879478827361562,0.2740688685874912,0.15879478827361562,0.8122018575668335,0.2537083029747009
squirrel,0,0.75,support_neighbor_entropy,0.15,0.14997115939242453,0.7778657078742981,0.9915400743484497,0.6648721399730821,780.0,3458.0,542.0,0.6948717948717948,0.156737998843262,0.25578102878716374,0.14664502164502163,0.8133374452590942,0.24231769144535065
squirrel,0,0.0,support_neighbor_entropy,0.2,0.19996154585656606,0.7778657078742981,0.9915400743484497,0.9915400884445299,1040.0,5157.0,1040.0,1.0,0.20166763622261005,0.3356462804582863,0.20166763622261005,0.802303671836853,0.21042239665985107
squirrel,0,0.5,support_neighbor_entropy,0.2,0.19996154585656606,0.7778657078742981,0.9915400743484497,0.944433762737935,1040.0,4912.0,1039.0,0.9990384615384615,0.2115228013029316,0.34912634408602156,0.21147974760838592,0.8023460507392883,0.21900402009487152
squirrel,0,0.75,support_neighbor_entropy,0.2,0.19996154585656606,0.7778657078742981,0.9915400743484497,0.6648721399730821,1040.0,3458.0,716.0,0.6884615384615385,0.2070561017929439,0.3183637172076479,0.18931782125859334,0.8033062815666199,0.20870164036750793
squirrel,0,0.0,support_neighbor_entropy,0.3,0.29994231878484906,0.7778657078742981,0.9915400743484497,0.9915400884445299,1560.0,5157.0,1560.0,1.0,0.30250145433391507,0.4644930772666369,0.30250145433391507,0.7669347524642944,0.14019642770290375
squirrel,0,0.5,support_neighbor_entropy,0.3,0.29994231878484906,0.7778657078742981,0.9915400743484497,0.944433762737935,1560.0,4912.0,1553.0,0.9955128205128205,0.3161644951140065,0.47991347342398016,0.31571457613336046,0.7673370242118835,0.14592605829238892
